# accession	Gropup
GCF_036417665.1	Neoaves
GCF_037157495.1	Neoaves
GCF_900496995.4	Neoaves
GCF_929443795.1	Neoaves
GCF_947461875.1	Neoaves
GCF_963662255.1	Neoaves
GCF_963921805.1	Neoaves
GCF_963924245.1	Neoaves
GCA_036873955.1	GalloAnserformes
GCA_039878825.1	GalloAnserformes
GCA_951394365.1	GalloAnserformes
GCA_963989345.1	GalloAnserformes
GCA_964034855.1	GalloAnserformes
GCA_964035555.1	GalloAnserformes
GCA_964059595.1	GalloAnserformes
GCA_964188345.1	GalloAnserformes
GCA_964211825.1	GalloAnserformes
GCA_964211835.1	GalloAnserformes
GCA_965140915.1	GalloAnserformes
GCA_965151615.1	GalloAnserformes
GCA_965231335.1	GalloAnserformes
GCF_009769625.2	GalloAnserformes
GCF_009819795.1	GalloAnserformes
GCF_016700215.2	GalloAnserformes
GCF_023343835.1	GalloAnserformes
GCF_040182565.1	GalloAnserformes
GCF_963932015.1	GalloAnserformes
GCA_047922985.1	Palaeognathae
GCF_028389875.1	Palaeognathae
GCF_036370855.1	Palaeognathae
GCF_036417845.1	Palaeognathae
GCF_040807025.1	Palaeognathae
GCA_005190385.3	Placental
GCA_009914755.4	Placental
GCA_011762505.3	Placental
GCA_022682495.2	Placental
GCA_023851605.1	Placental
GCA_026018925.1	Placental
GCA_026229955.1	Placental
GCA_026230055.1	Placental
GCA_027563665.1	Placental
GCA_028451465.1	Placental
GCA_028571685.1	Placental
GCA_030035585.1	Placental
GCA_030848825.1	Placental
GCA_031876335.1	Placental
GCA_031878675.1	Placental
GCA_031878705.1	Placental
GCA_036417435.1	Placental
GCA_036426135.1	Placental
GCA_037038515.1	Placental
GCA_037038545.1	Placental
GCA_037157525.1	Placental
GCA_038363095.2	Placental
GCA_038363145.1	Placental
GCA_039655065.1	Placental
GCA_039880945.1	Placental
GCA_040805955.1	Placental
GCA_040955705.1	Placental
GCA_041735815.1	Placental
GCA_041834305.1	Placental
GCA_043290085.1	Placental
GCA_043727835.1	Placental
GCA_043728065.1	Placental
GCA_043728145.1	Placental
GCA_043748575.1	Placental
GCA_043748645.1	Placental
GCA_043880285.1	Placental
GCA_043880425.1	Placental
GCA_043880545.1	Placental
GCA_043880595.1	Placental
GCA_045843805.1	Placental
GCA_046562885.1	Placental
GCA_046562895.1	Placental
GCA_047511655.1	Placental
GCA_048126745.1	Placental
GCA_048338725.1	Placental
GCA_048565385.1	Placental
GCA_048771875.1	Placental
GCA_048772815.1	Placental
GCA_049354715.1	Placental
GCA_902686455.2	Placental
GCA_903992545.1	Placental
GCA_905319855.2	Placental
GCA_949316315.1	Placental
GCA_949752795.1	Placental
GCA_949987585.1	Placental
GCA_951394435.1	Placental
GCA_951640355.1	Placental
GCA_963383645.1	Placental
GCA_963455305.1	Placental
GCA_963455335.1	Placental
GCA_963924515.1	Placental
GCA_963924665.1	Placental
GCA_964094495.2	Placental
GCA_964106545.1	Placental
GCA_964106825.2	Placental
GCA_964146895.2	Placental
GCA_964165515.1	Placental
GCA_964194105.1	Placental
GCA_964194135.1	Placental
GCA_964194185.1	Placental
GCA_964212035.2	Placental
GCA_964264875.2	Placental
GCA_964270905.1	Placental
GCA_964271855.1	Placental
GCA_964339955.1	Placental
GCA_964341445.1	Placental
GCA_964374135.1	Placental
GCA_964656225.1	Placental
GCA_964656455.1	Placental
GCA_964662115.1	Placental
GCA_965115925.1	Placental
GCA_965194805.1	Placental
GCA_965194825.1	Placental
GCF_003369695.1	Placental
GCF_004115265.2	Placental
GCF_004126475.2	Placental
GCF_007474595.2	Placental
GCF_008692025.1	Placental
GCF_009762305.2	Placental
GCF_009829155.1	Placental
GCF_009873245.2	Placental
GCF_011100685.1	Placental
GCF_011762595.1	Placental
GCF_014108235.1	Placental
GCF_014108245.1	Placental
GCF_014108415.1	Placental
GCF_014176215.1	Placental
GCF_015220235.1	Placental
GCF_015227675.2	Placental
GCF_020740605.2	Placental
GCF_020740685.1	Placental
GCF_020826845.1	Placental
GCF_024139225.1	Placental
GCF_024166365.1	Placental
GCF_025265405.1	Placental
GCF_026419965.1	Placental
GCF_027406575.1	Placental
GCF_027409185.1	Placental
GCF_027574615.1	Placental
GCF_027595985.1	Placental
GCF_028018385.1	Placental
GCF_028021215.1	Placental
GCF_028023285.1	Placental
GCF_028564815.1	Placental
GCF_028858775.2	Placental
GCF_028878055.3	Placental
GCF_028885625.2	Placental
GCF_028885655.2	Placental
GCF_029281585.2	Placental
GCF_029289425.2	Placental
GCF_030014295.1	Placental
GCF_030020395.1	Placental
GCF_030028045.1	Placental
GCF_030435755.1	Placental
GCF_030435805.1	Placental
GCF_030445035.2	Placental
GCF_036321535.1	Placental
GCF_036850765.1	Placental
GCF_036850995.1	Placental
GCF_037993035.1	Placental
GCF_039906515.1	Placental
GCF_042477335.2	Placental
GCF_043159975.1	Placental
GCF_047511675.1	Placental
GCF_048164855.1	Placental
GCF_902655055.1	Placental
GCF_902686445.1	Placental
GCF_903992535.2	Placental
GCF_903995425.1	Placental
GCF_903995435.1	Placental
GCF_910594005.1	Placental
GCF_922984935.1	Placental
GCF_937001465.1	Placental
GCF_947179515.1	Placental
GCF_949774975.1	Placental
GCF_949987515.2	Placental
GCF_949987535.1	Placental
GCF_950005125.1	Placental
GCF_950295315.1	Placental
GCF_963259705.1	Placental
GCF_963455315.2	Placental
GCF_963924675.1	Placental
GCF_963930625.1	Placental
GCF_964237555.1	Placental
GCA_003287225.2	Marsupials
GCA_037893015.1	Marsupials
GCA_048126345.1	Marsupials
GCA_048593225.1	Marsupials
GCA_048593235.1	Marsupials
GCA_048593285.1	Marsupials
GCF_011100635.1	Marsupials
GCF_019393635.1	Marsupials
GCF_027887165.1	Marsupials
GCF_028372415.1	Marsupials
GCF_004115215.2	Monotremes
GCF_015852505.1	Monotremes
GCA_030020295.1	Crocodylia
GCF_030867095.1	Crocodylia
GCA_021292165.1	Squamata
GCA_023333525.2	Squamata
GCA_024294585.1	Squamata
GCA_029215775.1	Squamata
GCA_030412105.1	Squamata
GCA_030440675.1	Squamata
GCA_030867105.1	Squamata
GCA_035046505.1	Squamata
GCA_046126795.1	Squamata
GCA_047715975.1	Squamata
GCA_947247035.1	Squamata
GCA_951804945.1	Squamata
GCA_964106645.2	Squamata
GCA_964106915.2	Squamata
GCA_964188175.1	Squamata
GCA_964188305.1	Squamata
GCA_964188315.1	Squamata
GCA_964194415.1	Squamata
GCA_964234715.1	Squamata
GCA_964252035.1	Squamata
GCA_964270895.1	Squamata
GCA_964273705.1	Squamata
GCA_965112155.1	Squamata
GCA_965113315.1	Squamata
GCA_965153285.1	Squamata
GCF_009769535.1	Squamata
GCF_009819535.1	Squamata
GCF_023053635.1	Squamata
GCF_027172205.1	Squamata
GCF_028583425.1	Squamata
GCF_029931775.1	Squamata
GCF_030035675.1	Squamata
GCF_031021105.1	Squamata
GCF_035149785.1	Squamata
GCF_037176765.1	Squamata
GCF_963506605.1	Squamata
GCA_032164245.1	Testudines
GCA_033349115.1	Testudines
GCA_033958435.1	Testudines
GCA_040894355.2	Testudines
GCA_045364815.1	Testudines
GCA_045781085.1	Testudines
GCA_965140235.1	Testudines
GCA_965140285.1	Testudines
GCA_965140295.1	Testudines
GCA_965152235.1	Testudines
GCA_965152275.1	Testudines
GCF_007399415.2	Testudines
GCF_009764565.3	Testudines
GCF_015237465.2	Testudines
GCF_025201925.1	Testudines
GCF_027887155.1	Testudines
GCF_028017835.1	Testudines
GCA_048934315.1	Agnatha
GCA_964187855.1	Agnatha
GCA_964198595.1	Agnatha
GCA_035084275.1	Chondrichthyes
GCA_963514005.1	Chondrichthyes
GCA_964194155.1	Chondrichthyes
GCA_964213995.1	Chondrichthyes
GCF_009764475.1	Chondrichthyes
GCF_010909765.2	Chondrichthyes
GCF_017639515.1	Chondrichthyes
GCF_020745735.1	Chondrichthyes
GCF_030028105.1	Chondrichthyes
GCF_030144855.1	Chondrichthyes
GCF_030684315.1	Chondrichthyes
GCF_035084215.1	Chondrichthyes
GCF_036365525.1	Chondrichthyes
GCF_036971445.1	Chondrichthyes
GCF_044704955.1	Chondrichthyes
GCF_902713615.1	Chondrichthyes
GCA_040939525.1	Sarcopterygii
GCF_037176945.1	Sarcopterygii
GCA_041753875.1	Euteleosts
GCF_904848185.1	Euteleosts
GCF_900880675.1	Euteleosts
GCA_965226575.1	Euteleosts
GCA_045362495.1	Euteleosts
GCA_048129055.1	Euteleosts
GCA_048128725.1	Euteleosts
GCA_045363895.1	Euteleosts
GCF_017976325.1	Euteleosts
GCF_039877785.1	Euteleosts
GCF_901000725.2	Euteleosts
GCA_013358685.1	Euteleosts
GCF_020382885.2	Euteleosts
GCA_031216445.1	Euteleosts
GCF_042242105.1	Euteleosts
GCF_963930695.1	Euteleosts
GCF_963584025.1	Euteleosts
GCA_947650265.1	Euteleosts
GCA_020745685.1	Euteleosts
GCF_009762535.1	Euteleosts
GCA_047301625.1	Euteleosts
GCA_949357725.1	Euteleosts
GCA_949987685.1	Euteleosts
GCF_043641665.1	Euteleosts
GCA_019677235.1	Euteleosts
GCA_048126635.1	Euteleosts
GCF_949316345.1	Euteleosts
GCA_964276395.1	Euteleosts
GCA_949748355.1	Euteleosts
GCA_028022725.1	Euteleosts
GCA_910591455.2	Euteleosts
GCF_009769545.1	Euteleosts
GCA_910589615.1	Euteleosts
GCA_963514095.1	Euteleosts
GCA_043250625.1	Euteleosts
GCF_015220745.1	Euteleosts
GCF_900634415.1	Euteleosts
GCA_949606895.1	Euteleosts
GCA_963691815.1	Euteleosts
GCA_041903045.1	Euteleosts
GCA_048129235.1	Euteleosts
GCA_048628825.1	Euteleosts
GCA_027942865.1	Euteleosts
GCA_933228915.1	Euteleosts
GCF_017639745.1	Euteleosts
GCA_014839995.1	Euteleosts
GCF_021462225.1	Euteleosts
GCA_037039145.1	Euteleosts
GCA_014839685.1	Euteleosts
GCA_965226115.1	Euteleosts
GCA_964374335.1	Euteleosts
GCA_963969265.1	Euteleosts
GCF_007364275.1	Euteleosts
GCA_020510985.1	Euteleosts
GCA_963514085.1	Euteleosts
GCF_900634625.1	Euteleosts
GCA_963383615.1	Euteleosts
GCA_963422515.1	Euteleosts
GCF_902148845.1	Euteleosts
GCA_049082185.1	Euteleosts
GCF_900634775.1	Euteleosts
GCF_947347685.1	Euteleosts
GCF_949316205.1	Euteleosts
GCF_963576545.1	Euteleosts
GCA_964266715.1	Euteleosts
GCF_009819705.1	Euteleosts
GCA_963854745.1	Euteleosts
GCA_963457635.1	Euteleosts
GCF_958295425.1	Euteleosts
GCA_905171665.2	Euteleosts
GCF_900963305.1	Euteleosts
GCF_017976425.1	Euteleosts
GCF_900634795.4	Euteleosts
GCF_900324465.2	Euteleosts
GCF_900324485.2	Euteleosts
GCF_910596095.1	Euteleosts
GCF_914725855.1	Euteleosts
GCF_963924715.1	Euteleosts
GCF_027409825.1	Euteleosts
GCF_963691925.1	Euteleosts
GCA_042242135.1	Euteleosts
GCA_044231675.1	Euteleosts
GCA_044231665.1	Euteleosts
GCA_048301445.1	Euteleosts
GCF_901709675.1	Euteleosts
GCA_048301465.1	Euteleosts
GCA_951799975.1	Euteleosts
GCF_009829125.3	Euteleosts
GCF_902148855.1	Euteleosts
GCF_902500255.1	Euteleosts
GCA_964638095.1	Euteleosts
GCA_048128805.1	Euteleosts
GCF_902150065.1	Euteleosts
GCA_048569125.1	Euteleosts
GCA_047511565.1	Euteleosts
GCA_048537225.1	Euteleosts
GCF_029633865.1	Euteleosts
GCF_902167405.1	Euteleosts
GCA_949987615.1	Euteleosts
GCA_964030765.1	Euteleosts
GCA_049190665.1	Euteleosts
GCA_960531495.1	Euteleosts
GCA_046255685.1	Euteleosts
GCA_963924005.1	Euteleosts
GCA_964188405.1	Euteleosts
GCA_951216825.1	Euteleosts
GCA_963454915.1	Euteleosts
GCA_963280865.1	Euteleosts
GCA_963921795.1	Euteleosts
GCA_963971535.1	Euteleosts
GCA_017639675.1	Euteleosts
GCA_038355195.1	Euteleosts
GCF_963692335.1	Euteleosts
GCA_949987555.1	Euteleosts
GCA_901001165.2	Euteleosts
GCA_036784965.1	Euteleosts
GCA_964263955.1	Euteleosts
GCF_011004845.1	Euteleosts
GCA_963989245.1	Euteleosts
GCA_951799395.1	Euteleosts
GCA_964197995.1	Otomorpha
GCA_949319135.1	Otomorpha
GCA_951802725.1	Otomorpha
GCA_963993115.1	Otomorpha
GCA_965113295.1	Otomorpha
GCA_949152265.1	Otomorpha
GCA_038024135.1	Otomorpha
GCA_048301585.1	Otomorpha
GCA_949357685.1	Otomorpha
GCA_936440315.1	Otomorpha
GCF_963082965.1	Otomorpha
GCA_944039275.1	Otomorpha
GCA_947034865.1	Otomorpha
GCF_027358585.1	Otomorpha
GCF_027579695.1	Otomorpha
GCA_024256435.1	Otomorpha
GCA_946808225.1	Otomorpha
GCF_030014385.1	Otomorpha
GCF_015220715.1	Otomorpha
GCF_029633855.1	Otomorpha
GCF_030463535.1	Otomorpha
GCF_023375975.1	Otomorpha
GCA_041902795.1	Otomorpha
GCF_902362185.1	Otomorpha
GCF_963854185.1	Otomorpha
GCF_018492685.1	Otomorpha
GCA_963457725.1	Otomorpha
GCA_048544225.1	Otomorpha
GCF_900700375.1	Otomorpha
GCF_013347855.1	Non-telost-Actinopterygii
GCF_013368585.1	Non-telost-Actinopterygii
GCF_036373705.1	Non-telost-Actinopterygii
GCF_040954835.1	Non-telost-Actinopterygii
GCF_900747795.2	Non-telost-Actinopterygii
GCF_900964775.1	Non-telost-Actinopterygii
GCF_902713425.1	Non-telost-Actinopterygii
GCF_963514075.1	Non-telost-Actinopterygii
